m,n,k,mk_input,mk_input_iterations,kn_input,kn_input_iterations,mn_output,mn_output_iterations,read,read_iterations,compute,compute_iterations,pipelined_read_compute,pipelined_read_compute_iterations,final_compute,final_compute_iterations,write,write_iterations,reduction,reduction_iterations,total
64,32,64,6,1,3,1,3,1,9207,1023,154092,2046,154092,1023,148,1,3069,1023,3,1,157324
64,32,64,6,1,3,1,3,1,9207,1023,102942,2046,102942,1023,98,1,3069,1023,3,1,106124
64,32,64,6,1,3,1,3,1,9207,1023,86574,2046,86574,1023,82,1,3069,1023,3,1,89740
64,32,64,6,1,3,1,3,1,9207,1023,80436,2046,80436,1023,76,1,3069,1023,3,1,83596
64,32,64,6,1,3,1,3,1,9207,1023,80436,2046,80436,1023,76,1,3069,1023,3,1,83596
64,32,64,6,1,3,1,3,1,9207,1023,47700,2046,47700,1023,44,1,3069,1023,3,1,50828
64,32,64,6,1,3,1,3,1,9207,1023,145908,2046,145908,1023,140,1,3069,1023,3,1,149132
64,32,64,6,1,3,1,3,1,9207,1023,86574,2046,86574,1023,82,1,3069,1023,3,1,89740
64,32,64,6,1,3,1,3,1,9207,1023,78390,2046,78390,1023,74,1,3069,1023,3,1,81548
64,32,64,6,1,3,1,3,1,9207,1023,76344,2046,76344,1023,72,1,3069,1023,3,1,79500
64,32,64,6,1,3,1,3,1,9207,1023,76344,2046,76344,1023,72,1,3069,1023,3,1,79500
64,32,64,6,1,3,1,3,1,9207,1023,43608,2046,43608,1023,40,1,3069,1023,3,1,46732
64,32,64,6,1,3,1,3,1,9207,1023,141816,2046,141816,1023,136,1,3069,1023,3,1,145036
64,32,64,6,1,3,1,3,1,9207,1023,78390,2046,78390,1023,74,1,3069,1023,3,1,81548
64,32,64,6,1,3,1,3,1,9207,1023,74298,2046,74298,1023,70,1,3069,1023,3,1,77452
64,32,64,6,1,3,1,3,1,9207,1023,74298,2046,74298,1023,70,1,3069,1023,3,1,77452
64,32,64,6,1,3,1,3,1,9207,1023,74298,2046,74298,1023,70,1,3069,1023,3,1,77452
64,32,64,6,1,3,1,3,1,9207,1023,41562,2046,41562,1023,38,1,3069,1023,3,1,44684
64,32,64,6,1,3,1,3,1,9207,1023,141816,2046,141816,1023,136,1,3069,1023,3,1,145036
64,32,64,6,1,3,1,3,1,9207,1023,74298,2046,74298,1023,70,1,3069,1023,3,1,77452
64,64,512,46,1,46,1,6,1,3220,63,65016,126,65016,63,1032,1,378,63,0,0,66524
64,64,512,46,1,46,1,6,1,3220,63,37863,126,37863,63,601,1,378,63,0,0,38940
64,64,512,46,1,46,1,6,1,3220,63,37863,126,37863,63,601,1,378,63,0,0,38940
64,64,512,46,1,46,1,6,1,3220,63,35847,126,35847,63,569,1,378,63,0,0,36892
64,64,512,46,1,46,1,6,1,3220,63,41895,126,41895,63,665,1,378,63,0,0,43036
64,64,512,46,1,46,1,6,1,3220,63,65016,126,65016,63,1032,1,378,63,0,0,66524
64,64,512,46,1,46,1,6,1,3220,63,37989,126,37989,63,603,1,378,63,0,0,39068
64,64,512,46,1,46,1,6,1,3220,63,21987,126,21987,63,349,1,378,63,0,0,22812
64,64,512,46,1,46,1,6,1,3220,63,21987,126,21987,63,349,1,378,63,0,0,22812
64,64,512,46,1,46,1,6,1,3220,63,19971,126,19971,63,317,1,378,63,0,0,20764
64,64,512,46,1,46,1,6,1,3220,63,26019,126,26019,63,413,1,378,63,0,0,26908
64,64,512,46,1,46,1,6,1,3220,63,37989,126,37989,63,603,1,378,63,0,0,39068
64,64,512,46,1,46,1,6,1,3220,63,21861,126,21861,63,347,1,378,63,0,0,22684
64,64,512,46,1,46,1,6,1,3220,63,13923,126,13923,63,221,1,378,63,0,0,14620
64,64,512,46,1,46,1,6,1,3220,63,13923,126,13923,63,221,1,378,63,0,0,14620
64,64,512,46,1,46,1,6,1,3220,63,11907,126,11907,63,189,1,378,63,0,0,12572
64,64,512,46,1,46,1,6,1,3220,63,17955,126,17955,63,285,1,378,63,0,0,18716
64,64,512,46,1,46,1,6,1,3220,63,21861,126,21861,63,347,1,378,63,0,0,22684
64,64,512,46,1,46,1,6,1,3220,63,13797,126,13797,63,219,1,378,63,0,0,14492
64,64,512,46,1,46,1,6,1,3220,63,9891,126,9891,63,157,1,378,63,0,0,10524
64,64,512,46,1,46,1,6,1,3220,63,9891,126,9891,63,157,1,378,63,0,0,10524
64,64,512,46,1,46,1,6,1,3220,63,7875,126,7875,63,125,1,378,63,0,0,8476
64,64,512,46,1,46,1,6,1,3220,63,13923,126,13923,63,221,1,378,63,0,0,14620
64,64,512,46,1,46,1,6,1,3220,63,13797,126,13797,63,219,1,378,63,0,0,14492
64,64,512,46,1,46,1,6,1,3220,63,9765,126,9765,63,155,1,378,63,0,0,10396
64,64,512,46,1,46,1,6,1,3220,63,7875,126,7875,63,125,1,378,63,0,0,8476
64,64,512,46,1,46,1,6,1,3220,63,7875,126,7875,63,125,1,378,63,0,0,8476
64,64,512,46,1,46,1,6,1,3220,63,5859,126,5859,63,93,1,378,63,0,0,6428
64,64,512,46,1,46,1,6,1,3220,63,11907,126,11907,63,189,1,378,63,0,0,12572
64,64,512,46,1,46,1,6,1,3220,63,9765,126,9765,63,155,1,378,63,0,0,10396
64,64,512,46,1,46,1,6,1,3220,63,13356,126,13356,63,212,1,378,63,0,0,14044
64,64,512,46,1,46,1,6,1,3220,63,11592,126,11592,63,184,1,378,63,0,0,12252
64,64,512,46,1,46,1,6,1,3220,63,11592,126,11592,63,184,1,378,63,0,0,12252
64,64,512,46,1,46,1,6,1,3220,63,7560,126,7560,63,120,1,378,63,0,0,8156
64,64,512,46,1,46,1,6,1,3220,63,19656,126,19656,63,312,1,378,63,0,0,20444
64,64,512,46,1,46,1,6,1,3220,63,13356,126,13356,63,212,1,378,63,0,0,14044
64,64,512,46,1,46,1,6,1,3220,63,68229,126,68229,63,1083,1,378,63,0,0,69788
64,64,512,46,1,46,1,6,1,3220,63,68733,126,68733,63,1091,1,378,63,0,0,70300
64,64,512,46,1,46,1,6,1,3220,63,68733,126,68733,63,1091,1,378,63,0,0,70300
64,64,512,46,1,46,1,6,1,3220,63,68229,126,68229,63,1083,1,378,63,0,0,69788
64,64,512,46,1,46,1,6,1,3220,63,69741,126,69741,63,1107,1,378,63,0,0,71324
64,64,512,46,1,46,1,6,1,3220,63,68229,126,68229,63,1083,1,378,63,0,0,69788
64,64,512,46,1,46,1,6,1,3220,63,42147,126,42147,63,669,1,378,63,0,0,43292
64,64,512,46,1,46,1,6,1,3220,63,50211,126,50211,63,797,1,378,63,0,0,51484
64,64,512,46,1,46,1,6,1,3220,63,50211,126,50211,63,797,1,378,63,0,0,51484
64,64,512,46,1,46,1,6,1,3220,63,42147,126,42147,63,669,1,378,63,0,0,43292
64,64,512,46,1,46,1,6,1,3220,63,66339,126,66339,63,1053,1,378,63,0,0,67868
64,64,512,46,1,46,1,6,1,3220,63,42147,126,42147,63,669,1,378,63,0,0,43292
64,64,512,46,1,46,1,6,1,3220,63,26019,126,26019,63,413,1,378,63,0,0,26908
64,64,512,46,1,46,1,6,1,3220,63,34083,126,34083,63,541,1,378,63,0,0,35100
64,64,512,46,1,46,1,6,1,3220,63,34083,126,34083,63,541,1,378,63,0,0,35100
64,64,512,46,1,46,1,6,1,3220,63,26019,126,26019,63,413,1,378,63,0,0,26908
64,64,512,46,1,46,1,6,1,3220,63,50211,126,50211,63,797,1,378,63,0,0,51484
64,64,512,46,1,46,1,6,1,3220,63,26019,126,26019,63,413,1,378,63,0,0,26908
64,64,512,46,1,46,1,6,1,3220,63,17955,126,17955,63,285,1,378,63,0,0,18716
