m,n,k,mk_input,mk_input_iterations,kn_input,kn_input_iterations,mn_output,mn_output_iterations,read,read_iterations,compute,compute_iterations,pipelined_read_compute,pipelined_read_compute_iterations,final_compute,final_compute_iterations,write,write_iterations,reduction,reduction_iterations,total
64,64,1024,91,1,91,1,6,1,204521290,2097151,2350578596,4194302,2350578596,2097151,1116,1,12582906,2097151,5,1,2363162811
64,64,1024,91,1,91,1,6,1,204521290,2097151,2350578596,4194302,2350578596,2097151,1116,1,12582906,2097151,5,1,2363162811
64,64,1024,91,1,91,1,6,1,204521290,2097151,2333801388,4194302,2333801388,2097151,1108,1,12582906,2097151,5,1,2346385595
64,64,1024,91,1,91,1,6,1,204521290,2097151,2384133012,4194302,2384133012,2097151,1132,1,12582906,2097151,5,1,2396717243
64,64,1024,91,1,91,1,6,1,204521290,2097151,2333801388,4194302,2333801388,2097151,1108,1,12582906,2097151,5,1,2346385595
64,64,1024,91,1,91,1,6,1,204521290,2097151,1465580874,4194302,1465580874,2097151,694,1,12582906,2097151,5,1,1478164667
64,64,1024,91,1,91,1,6,1,204521290,2097151,1734016202,4194302,1734016202,2097151,822,1,12582906,2097151,5,1,1746600123
64,64,1024,91,1,91,1,6,1,204521290,2097151,1734016202,4194302,1734016202,2097151,822,1,12582906,2097151,5,1,1746600123
64,64,1024,91,1,91,1,6,1,204521290,2097151,1465580874,4194302,1465580874,2097151,694,1,12582906,2097151,5,1,1478164667
64,64,1024,91,1,91,1,6,1,204521290,2097151,2270886858,4194302,2270886858,2097151,1078,1,12582906,2097151,5,1,2283471035
64,64,1024,91,1,91,1,6,1,204521290,2097151,1465580874,4194302,1465580874,2097151,694,1,12582906,2097151,5,1,1478164667
64,64,1024,91,1,91,1,6,1,204521290,2097151,928710218,4194302,928710218,2097151,438,1,12582906,2097151,5,1,941293755
64,64,1024,91,1,91,1,6,1,204521290,2097151,1197145546,4194302,1197145546,2097151,566,1,12582906,2097151,5,1,1209729211
64,64,1024,91,1,91,1,6,1,204521290,2097151,1197145546,4194302,1197145546,2097151,566,1,12582906,2097151,5,1,1209729211
64,64,1024,91,1,91,1,6,1,204521290,2097151,928710218,4194302,928710218,2097151,438,1,12582906,2097151,5,1,941293755
64,64,1024,91,1,91,1,6,1,204521290,2097151,1734016202,4194302,1734016202,2097151,822,1,12582906,2097151,5,1,1746600123
64,64,1024,91,1,91,1,6,1,204521290,2097151,928710218,4194302,928710218,2097151,438,1,12582906,2097151,5,1,941293755
64,64,1024,91,1,91,1,6,1,204521290,2097151,660274890,4194302,660274890,2097151,310,1,12582906,2097151,5,1,672858299
64,64,1024,91,1,91,1,6,1,204521290,2097151,928710218,4194302,928710218,2097151,438,1,12582906,2097151,5,1,941293755
64,64,1024,91,1,91,1,6,1,204521290,2097151,928710218,4194302,928710218,2097151,438,1,12582906,2097151,5,1,941293755
64,64,1024,91,1,91,1,6,1,204521290,2097151,660274890,4194302,660274890,2097151,310,1,12582906,2097151,5,1,672858299
64,64,1024,91,1,91,1,6,1,204521290,2097151,1465580874,4194302,1465580874,2097151,694,1,12582906,2097151,5,1,1478164667
64,64,1024,91,1,91,1,6,1,204521290,2097151,660274890,4194302,660274890,2097151,310,1,12582906,2097151,5,1,672858299
64,64,2048,182,1,182,1,6,1,198229652,1048575,1170930600,2097150,1170930600,1048575,1112,1,6291450,1048575,5,1,1177223537
64,64,2048,182,1,182,1,6,1,198229652,1048575,718994775,2097150,718994775,1048575,681,1,6291450,1048575,5,1,725287281
64,64,2048,182,1,182,1,6,1,198229652,1048575,718994775,2097150,718994775,1048575,681,1,6291450,1048575,5,1,725287281
64,64,2048,182,1,182,1,6,1,198229652,1048575,685440375,2097150,685440375,1048575,649,1,6291450,1048575,5,1,691732849
64,64,2048,182,1,182,1,6,1,198229652,1048575,786103575,2097150,786103575,1048575,745,1,6291450,1048575,5,1,792396145
64,64,2048,182,1,182,1,6,1,198229652,1048575,1170930600,2097150,1170930600,1048575,1112,1,6291450,1048575,5,1,1177223537
64,64,2048,182,1,182,1,6,1,198229652,1048575,716897625,2097150,716897625,1048575,679,1,6291450,1048575,5,1,723190129
64,64,2048,182,1,182,1,6,1,198229652,1048575,450559575,2097150,450559575,1048575,425,1,6291450,1048575,5,1,456851825
64,64,2048,182,1,182,1,6,1,198229652,1048575,450559575,2097150,450559575,1048575,425,1,6291450,1048575,5,1,456851825
64,64,2048,182,1,182,1,6,1,198229652,1048575,417005175,2097150,417005175,1048575,393,1,6291450,1048575,5,1,423297393
64,64,2048,182,1,182,1,6,1,198229652,1048575,517668375,2097150,517668375,1048575,489,1,6291450,1048575,5,1,523960689
64,64,2048,182,1,182,1,6,1,198229652,1048575,716897625,2097150,716897625,1048575,679,1,6291450,1048575,5,1,723190129
